Meter,WELL Name,Gas Rate Sm3/d,Oil Flow Sm3/d,Water Flow Rate m3/d,GOR,GWR,WLR,Sep. Gas Temp deg C,Sep. Static Pressure psig,DP[Bar],Temperature[C],Velocity[m/s],Quality,GVF[%],GasDen[kg/m3],GasVisc[cP],LiqDen[kg/m3],LiqVisc[cP]
C1-038,LCA-3005,108111.92903008783,38.95285074641424,24.40740472322544,2787.3643766636596,4458.7084516460645,0.3849894950459338,55.09080631250001,1310.1155696171043,0.021034784833333334,55.09080631250001,5.3716773734166665,0.5852438135833333,93.16257347220994,80.96188263493687,1.4549614830016666e-05,710.4403775099831,0.0004893843764018
C1-052,LCA-3005,108763.30034938,37.8084811020228,23.690853522175686,2889.74888624559,4622.664867917262,0.3849881531531636,55.09080631250001,1310.1155696171043,0.021034784833333334,55.09080631250001,5.3716773734166665,0.5852438135833333,93.39943792668815,80.96188263493687,1.4549614830016666e-05,710.4403775099831,0.0004893843764018
C1-08125,LCA-3005,113713.7962176,29.287792800000002,18.355572,3911.458982110785,6259.582737098318,0.3849746328670913,55.09080631250001,1310.1155696171043,0.021034784833333334,55.09080631250001,5.3716773734166665,0.5852438135833333,95.08960763583332,80.96188263416667,1.4549616666666665e-05,710.4403775166667,0.0004893844166666667
PVT1,LCA-3005,133923.7852069832,7.6481708291892,4.300696922417281,20139.607613658616,36306.073440864304,0.35890499190660813,55.09080631250001,1310.1155696171043,0.021034784833333334,55.09080631250001,5.3716773734166665,0.5852438135833333,99.02279541750995,71.87887152342334,1.4403580483941667e-05,749.8217119257142,0.0004899396804548167
PVT10,LCA-3005,106509.42754075908,41.79229657514137,26.18533236149928,2558.123369134699,4091.655979043373,0.3849924995800585,55.09080631250001,1310.1155696171043,0.021034784833333334,55.09080631250001,5.3716773734166665,0.5852438135833333,92.56447091428555,80.96188263493687,1.4549614830016666e-05,710.4403775099831,0.0004893843764018
PVT11,LCA-3005,106762.3707592404,38.25655977845664,23.902281662967358,2803.0502967622233,4496.882303933577,0.38430500432127496,55.09080631250001,1310.1155696171043,0.021034784833333334,55.09080631250001,5.3716773734166665,0.5852438135833333,93.33717330965821,80.60810455229024,1.4478323188741664e-05,713.066512368329,0.0004893843764018
PVT2,LCA-3005,118956.73138482535,5.9118158533032,2.6402692286678398,23857.497047181892,54273.94458583199,0.3076810922363153,55.09080631250001,1310.1155696171043,0.021034784833333334,55.09080631250001,5.3716773734166665,0.5852438135833333,99.09262653543156,72.12945750148795,1.536280533785e-05,759.2778130943733,0.0012283785277050416
PVT3,LCA-3005,118818.4089073543,5.61188080754208,2.7241722584027994,25094.208493883893,52522.645750349424,0.3257109256721564,55.09080631250001,1310.1155696171043,0.021034784833333334,55.09080631250001,5.3716773734166665,0.5852438135833333,99.03236454363959,72.12945750148795,1.536280533785e-05,716.8469659369083,0.0012283785277050416
PVT4,LCA-3005,113325.0630782515,26.32628614880448,24.127681128940804,4344.318053486812,4757.202873241345,0.4778213196589687,55.09080631250001,1310.1155696171043,0.021034784833333334,55.09080631250001,5.3716773734166665,0.5852438135833333,92.83705155318722,90.93033857678529,1.4438272423266665e-05,668.1712205979698,0.0010563299420774
PVT5,LCA-3005,113787.93350582353,25.906083977434317,24.17166604035576,4432.602562008995,4767.789402338056,0.4822888754698116,55.09080631250001,1310.1155696171043,0.021034784833333334,55.09080631250001,5.3716773734166665,0.5852438135833333,92.82374290180051,90.93208219026191,1.4444049588575e-05,667.1265457584865,0.0010563299420774
PVT6,LCA-3005,113787.93350582353,25.906083977434317,24.17166604035576,4432.602562008995,4767.789402338056,0.4822888754698116,55.09080631250001,1310.1155696171043,0.021034784833333334,55.09080631250001,5.3716773734166665,0.5852438135833333,92.82374290180051,90.93208219026191,1.4444049588575e-05,667.1265457584865,0.0010563299420774
PVT7,LCA-3005,113787.93350582353,25.906083977434317,24.17166604035576,4432.602562008995,4767.789402338056,0.4822888754698116,55.09080631250001,1310.1155696171043,0.021034784833333334,55.09080631250001,5.3716773734166665,0.5852438135833333,92.82374290180051,90.93208219026191,1.4444049588575e-05,667.1265457584865,0.0010563299420774
PVT8,LCA-3005,108461.5389046162,35.79863643093168,27.233577835551362,3048.0273517289456,4018.2508934955895,0.4317560353633758,55.09080631250001,1310.1155696171043,0.021034784833333334,55.09080631250001,5.3716773734166665,0.5852438135833333,91.80500181448978,86.50796572085675,1.4287307001e-05,707.9799444793971,0.0010563299420774
PVT9,LCA-3005,107491.63108139973,8.653062732103441,6.425307193049281,13954.861736540528,19034.812027236854,0.4250558078697922,55.09080631250001,1310.1155696171043,0.021034784833333334,55.09080631250001,5.3716773734166665,0.5852438135833333,98.23966280840722,103.55105104924768,1.6314740996375e-05,687.9329133622092,0.0004893843764018
RAW_FSF,LCA-3005,95753.04024999999,46.079,19.58775,2171.217925187469,5165.021391448549,0.2976998769755865,55.952749999999995,1308.9209999999998,,,,,,,,,
SEP,LCA-3005,139770.91666666666,26.187291666666667,9.304374999999997,5700.116087499516,15212.394172351478,0.2706095431565624,40.02333333333333,1325.7208333333333,,,,,,,,,
C1-038,LCA-3006,153182.40647564884,34.81603472008081,21.183869833164717,4579.536777429713,7555.556440896472,0.3778784874715611,61.30980867916667,1325.0379879860775,0.0377709665,61.30980867916667,7.600190724749999,0.7816828814166668,95.77275622964271,79.43281057534361,1.4674182349291663e-05,705.9624255835693,0.0004392615838039917
